,index,tweet,target
0,0,コム ドット 豆知識 主催者 私 渡辺 恋愛 バラエティ 評論 家 勧め られ 最近 あいのり アジアンジャーニー 見 いる 推し ウェディング さん,0
1,1,コム ドット 豆知識 うち まつ げん君 麻婆豆腐 さらに 豆腐 追加 し 食べる よう この コーナー 裏方 こと メンバー こと 細かい コム ドット こと お披露目 し いこ 考え いる,0
2,2,中華街 渡辺 さん 載せ とき 写真 下手 すぎ 草 どこ 見 ん この 人 ちゃっかり ドラゴン 手 し て 可愛い ニャン,0
3,3,精力 活力 ニャン,0
4,4,TikTok 君 Instagram ちゃん,0
5,5,どうも コム ドット 鬼 ビジュアル 担当 浦田 最近 ビジュアル 本気 出し いる 僕 迷 える子 犬 設定 今後 やっ いく 推し くれる 方 募集 し 精力的 Instagram TikTok やっ てる 是非 フォロー お願い し 貴方 浦田 推せる かな 浦田 教,0
6,6,皆さん 口内炎 痛い おめでとう 明け,0
7,7,チャンネル 登録者 0 万人 突破 し ライブ 見 くださっ 皆さん 是非 ありがとう やっぱり コム ドット どんでん返し 得意 インスタグラム また 語り 思い 本当にありがとうございました コム ドット 有言実行 コム ドット 0 万人 達成,0
8,8,やまと さん 私 弟子入り し,0
9,9,社長 スマブラ 完敗 やっぱ 社長 敵い,0
10,10,今日も一日 みんな 頑張ろ,0
11,11,編集 あるある ウンコ めっちゃ 我慢 する の ある ん たった今 ウンコ 半身 こんにちわ し,0
12,12,牛乳 飲ん コップ お茶 飲む 抹茶 味 する,0
13,13,運動会 帰り 小便 漏れ そう 中 急い くださっ 運転手 さん ありがとう 久しぶり 醜態 晒す とこ 本当に 感謝 途中 終始 アヘ顔 し しまい 申し訳 あり 今 なっ いい 思い出,0
14,14,自分 0 人 チャンネル 登録 大した こと ない 思っ てる 人達 チャンネル 登録者 運動会 最終日 一緒 盛り上げ 頂ける ありがたい そんな 心 優しい 人達 集まっ 時 力 膨大 すごい こと なる 気 し 今日 一緒 思い出 作り,0
15,15,今日 予告 あむ ぎり 編集 流石 創造 力 豊か 本当に,0
16,16,用事 後 時間 あっ 0 人 イキリ 飯 し 美味しかっ,0
17,17,編集 ワード 的 みんな 名前 簡略 化 する こと 多い まとめ おき ひゅうが 髭 あむ ぎり 鳥 やまと 聖域 青髭 ゆう 還暦 ワシ なく 草,0
18,18,はっ はっ はっ はっ はっ ー いつも ありがとう,0
19,19,はい ホンマ こん ちくわ ネット 関西弁 使う やつ だいたい イキリ 陰キャ ブーメラン ホンマ たぶん めっちゃ スベ っ 恥ずかしく 夜 眠れ,0
20,20,いえ ええい,0
21,21,タバコ 買お し 年齢 確認 さ れ 普段 老け てる 言わ れる めっちゃ 嬉しいっ てわけ ない なんとも 言え 気持ち,0
22,22,僕 し こと 関 コレ パンツ 替え 持っ いく の 忘れ 晴れ舞台 クッセェパンティー 出 しまい アチン 最高 楽しかっ ありがとう 拾,0
23,23,ボン ひたすら ダル絡み し いる 僕 可愛 すぎる 件,0
24,24,最高 一週間 こんな 老け顔 なっ ここ 青春 感じる こと でき 思っ 換気 お互い 目標 達成 し スカイドット お 疲れ,0
25,25,今日 俺氏 編集 チンカス 遅く 泣き そう 巻き返し,0
26,26,ほぼ ブラ 焼け サンダル 履き すぎ,0
27,27,お久しぶり,0
28,28,楽しみ し い ファン 皆様 お待 たせ し お 待た せし すぎ しれ 自分たち 創意工夫 し 作っ オリジナル デザイン ぜひ 使っ み Simeji ユーザー 皆様 ぜひ 楽しん いただき Simeji アプリ インストール し バナー ダウンロード でき,0
29,29,,0
30,30,明日 動画 僕 ブチギレ ちゃっ 叩か れ 心配 チェース,0
31,31,今日の動画 僕 あっちゃん こと 可愛 そう コメント 殺到 し しまい あくまで エンタメ 笑っ いただける 演者 ありがたい 笑っ くれ 完全 オワコン 人間 なっ ちまう ん ぁぁぁぁ,0
32,32,今日 夜 皆さん チェック よろしくお願いします めちゃくちゃ 楽しい 撮影,0
33,33,ひゅうが TikTok 飯 出 こ 完全 TikTok 側 デブ 視聴 者 思わ れ てる,0
34,34,面白 そう 朗 ワクワク,0
35,35,ゆう 限界 編集 合間 ドラゴンボール フィギュア 開封 し て ご うた 無駄遣い し ん かゆう たさ おっしゃっ デリカシー カケラ ない 後輩 乾杯,0
36,36,なんか 木内 きた,0
37,37,俺 ゆう ツイート 誤字 っ,0
38,38,社長 次 撮影 向け ワックス つけ てる,0
39,39,あ むぎ りす ごい 肩 掻い てる,0
40,40,ゆ うた 寝言 謎 すぎ なん 言っ て 忘れ,0
41,41,ひゅうが アリ ブチギレ て アリ 風情 ぁぁぁ 叫ん,0
42,42,ありがとう 頑張り じょ,0
43,43,ありがとう 頑張り 共に,0
44,44,るか ありがとう がんばっ いこ じょ,0
45,45,ちばしん ありがとう 頑張っ いこ ジェ,0
46,46,リョーマ ありがとう 今度 編集 し 行く,0
47,47,ぎし ありがとう 頑張ろ 一緒に,0
48,48,きょう きょう ありがとう 天下一 目指す じょ,0
49,49,フジ くん ありがとう 僕 大好き,0
50,50,面白い お祝い ありがとう これから 頑張ろ,0
51,51,まりな さん ありがとう,0
52,52,あり ゃんさんありがとうございます,0
53,53,ピグモン ありがとう ご うた 僕 食べる やめ,0
54,54,わき おく ん ありがとう これから よろしくお願いします,0
55,55,カジサック さん ありがとう まだまだ ぶっ 壊し 笑,0
56,56,じんたん さん ありがとう ハンドスピナー お供 編集 頑張り 負け おおおおおお,0
57,57,ありがとう 飯 行き これから よろしくお願いします 梁,0
58,58,JP 君 ありがとう これから よろしくお願いします,0
59,59,金太郎 ココ,0
60,60,諸 学 基本 哲学 あり 円了 先生 お元気ですか,0
61,61,俺 野球 下手 すぎ 草,0
62,62,歯 尖っ てる 本人 曰く,0
63,63,ボン 俺 携帯 撮っ 神 写真 渡す の 忘れ て,0
64,64,蘆,0
65,65,Netflix さん お 声 掛け 待っ,0
66,66,フェイス ID ワクワク し た元 iPhone 0 指紋認証 ユーザー 浦田 マスク 無 事大 敗北,0
67,67,どうも 武道 励み すぎ 精神 いかれ ちゃっ 人,0
68,68,最近 軽い 飯 食べ てる うんこ ちゃんと 出る 痩せ そう す,0
69,69,昨日 動画 0本 目 の いつも みなさん ありがとう あと 0本 0本 投稿,0
70,70,やり や がっ むぎ,0
71,71,体型 こと,0
72,72,佐藤 渡辺 こと LINE 登録 カレー 色 設定 し て 失礼 思い 佐藤 こと 精子 色 登録 さ せ いただき 何 言っ ん 俺 チェース クソツイ 失礼 し,0
73,73,僕 YouTube 視聴 し こと 少ない 状態 この 活動 始め 今回 ヒカキン さん 会っ 昔 動画 拝見 さ せ いただい の ヒカキン さん おかげ 今 ある 感動 し 0歳 ヒカキッズ なり そう 先輩 方 作っ 道 大きく し YouTube 盛り上げ いき 恵まれ 環境 感謝,0
74,74,全国 貧乳 さん 達 敵 なり そう,0
75,75,領域 展開,0
76,76,沖縄 行 希,0
77,77,ごめんなさい ごめんなさい ごめんなさい,0
78,78,呪術師,0
79,79,花粉症 喫煙者 春 嫌 鼻 詰 煙 否 旨,0
80,80,最近 走る おっぱい ある 実感 する 太っ,0
81,81,Twitter 友達,0
82,82,久しぶり 腕立て伏せ し 体 重く なり すぎ キツ すぎ 件 0 話 完結,0
83,83,恥ずかしかっ,0
84,84,ジェラシックパーク 浦田,0
85,85,自販機 プレゼント 待っ,0
86,86,アンチ 勤務 怠り,0
87,87,連れション やん す,0
88,88,僕 かわいい くまさん,0
89,89,僕 かわいい,0
90,90,恥ずかしかっ,0
91,91,あむ ぎりとゆうたが 0 人 自販 いっ あいつら 仲良し 羨ましい 微笑ましく アンチ でき ただ ジェラシーツイート,0
92,92,Twitter 0 万 人 イェーイ 料 あ あ アヒージョ たべ,0
93,93,ありがたい お 言葉 このまま 0キロ 行っ ちゃい そう ライザップ 迷っ,0
94,94,最近 太り すぎ いる 今日 境 ダイエット 始め みる 略,0
95,95,空気 美味い 将来 年 半分 田舎 過ごし いい 感じ テラス タバコ 吸い この 文章 打っ てる 自分 イタイ,0
96,96,夜更かし し 日 いっぱい おなら で,0
97,97,革命 ウィーク みなさん お 楽しみ 過去最大 イベント コム ドット 革命,0
98,98,うる しゃい,0
99,99,今日 佐藤 おしゃれ 曲 流し 自分 酔っ いる どうも アンチ,0
100,100,花粉症 これ 生命 営み 一環 私 耐える,0
101,101,こい つら 汚い,0
102,102,俺 ボン 見 時 俺 太っ てる 思っ,0
103,103,渡辺 君 子供 頃 目 くれ 醤油ラーメン 趣 感じる 言っ て 痛い 思っ どうも アンチ,0
104,104,ありがとう,0
105,105,プロ野球チップス 進出 し,0
106,106,そろそろ これ 食べ 爆ぜ,0
107,107,春 大学生 皆さん よろしくお願いします 大学 0 年生,0
108,108,台 拭き 台 拭き 大変 これ 高校時代 夏 合宿 リタイア し モップ 係 なっ やつ モップ モップ 大変 な! 来 変 奴 僕 周り 多い アチン,0
109,109,すぎ お話 なら この 構文 僕 高校時代 ともだち くち 癖 わりと 友達 言葉 YouTube 使っ し アチン,0
110,110,ただ いい 写真 ー す 盧,0
111,111,クゥゥゥーン,0
112,112,ただ いい 写真 お 休み なさい,0
113,113,社長 オフショット,0
114,114,僕 肩車 し てくだ ちい,0
115,115,狂,0
116,116,レッツパーティーペロペロキャンディー コム ドット 革命,0
117,117,コム ドット かっこよ この ハッシュタグ Twitter トレンド 狙い,0
118,118,0 万人 記念 投稿 自分 言う の おかしな話 ぼく たち 素敵 グループ 色々 思い出し てる 素敵 言葉 出 き ここ 道のり 素敵 ストーリー 思い 素敵 二文字 僕たち 色んな もの 詰まっ てる 気 し もお おおおお ん 素敵,0
119,119,0 st シングル 宣戦布告 0 nd シングル 革命,0
120,120,ヒロト くん ありがとう,0
121,121,ありがとう,0
122,122,イナズマイレブン,0
123,123,ありがとう,0
124,124,はん くん ありがとう ンンンンンンンン,0
125,125,きょう きょう ありがとう,0
126,126,シバ ありがとう 写真 楽しみ,0
127,127,俺 遊戯王 制す,0
128,128,いつも 本当に ありがとう,0
129,129,今 撮っ てる 企画 今年 有給 使い果たし,0
130,130,0時 間 以内 0 万 回 え ぐいでやんす コラボ ありがとう,0
131,131,急上昇 一位 すごい,0
132,132,Twitter あと ちょっと 0 万人,0
133,133,僕 漢字 苦手,0
134,134,うっ ふん,0
135,135,あむ ぎり 話しかけ た人 達 最後 方 あむ ぎりっ 気づい 悪い 人たち 僕 編集 エンタメ 面白く する ため カット し しまい あくまで YouTube 上 上がっ てる 動画 エンタメ み ください 可哀想 コメント コメント欄 溢れる の あむ ぎり 可哀想,0
136,136,ありがとう,0
137,137,急上昇 0 位 夢見心地 嬉しい もの いつも 拡散 ありがとう コム ドット 急上昇 0 位,0
138,138,LINE 無機質,0
139,139,奇跡 やん す,0
140,140,社長 ライン 絵文字 入っ て 感動 し,0
141,141,思い出 やん す,0
142,142,昨日 動画 急上昇 成人 さ れ 皆様 おめでとう 僕 当 日次 日 テスト 早め 帰り ちょ それ 今 なっ いい 思い出 どんな 形 きっと 思い出 残る こと おめでとう,0
143,143,長い 道のり ごめん,0
144,144,今日の動画 言い 忘れ 僕 良い ところ お母さん キレイ,0
145,145,アチンフィルター みんな 使っ,0
146,146,充電 なく アルティメット 虚無,0
147,147,免許更新 待ち時間 0時 間 あっ とても 虚無,0
148,148,ボン さん 誕生日 おめでとう 去年 ボン い 成り立っ て 年 今年 よろしくお願いします 0歳 お 体 ご自愛ください,0
149,149,今日の動画 編集 エグ い,0
150,150,あけましておめでとうございます ここ ちゃん 一 歳 なっ おめでとう 今年 頑張る LLLL,0
151,151,あと 二 万人 0 万 人 拡散 よろしくお願いします,0
152,152,天才,0
153,153,ありがとう,0
154,154,昨日 お 誕生日 祝っ くれ ありがとう,0
155,155,ローション ゴリラ 社畜 ゴリラ カップ麺 啜っ て 草どう おやすみなさい。 ハゲ ゴリラ,0
156,156,たぶん 違う ひと 浦田 さん おめでとう,0
157,157,やっ ァァァァァァァァ,0
158,158,セスセス,0
159,159,お待ち し おり,0
160,160,共に 旅立ち ありがとう あれから ゆり ょま チャンネル 僕 ハマり すぎ い,0
161,161,今 編集 世界 行っ き,0
162,162,チャンネル 登録者 0 万人 突破 し ありがとう ファン 皆さん 拡散 すごく 勢い 出 思い これから 他力 出来る 限り 本願 し いこ 思う 僕ら お 尻 蹴飛ばし ちゃっ ください,0
163,163,僕 将来,0
164,164,0 万 人 ありがとう ちゃんと 投稿 さ せ いただき コム ドット 有言実行,0
165,165,コム ドット 有言実行 お祝い お願い し,0
166,166,コム ドット ゆ うた 盗撮 する 軽犯罪 者,0
167,167,ありがとう,0
168,168,インスタライブ 緊張 し,0
169,169,やっ ぁ,0
170,170,最高,0
171,171,いつも ごめんなさい,0
172,172,こないだ 酔っ払っ 時 一人 自撮り し て 潜在的 自我 強い この 写真 切ない,0
173,173,ひゅうが 君 今日 君 歯ブラシ 使っ しまっ 今日 い,0
174,174,0 万 人 おめでとう,0
175,175,この バカ犬 かわいい,0
176,176,僕 相当 粗 チン,0
177,177,今日 朝 そう いえ ひゅうが 歯ブラシ 歯磨き し,0
178,178,辛ラーメン お腹 壊す の 趣味,0
179,179,金持 そう,0
180,180,こんにちわ,0
181,181,アフガニスタン 産,0
