,tweet
0,強く なる 頑張る
1,配信 やっ てる 元気 出る なんで なん 終わる 涙 止まら なる の
2,だめ まだ ち 弱い 泣い しまう 涙 軽い もの 気 する こと ない しれ 気持ち まとまら 弱 すぎる 弱い こと 悪く もっと強く なり
3,貴様 送る もう ここ 見 くれ 君 心残り 感じ させる ため 書い てる わけ 前 向く 決断 ため 言葉 の もう 見 くれ
4,彼 幸せ なっ くれ 言っ ただ ち 幸せ なら いけ
5,さようなら こんにちは 新しい 出会い 大切
6,心残り ある 簡単 感情 変え れ 次 幸せ 恋愛 しよ そういう 心意気 持っ 動く
7,間違っ 選択肢 選ん つもり ない 矛盾 重ね もの 終止符 打っ の 何故 なのか 感情 波 己 沈ま せる
8,自身 傲慢 さ 欲 委ね 得 た力 己 ため 使え もの 誰 欲しい の
9,別れ もう 修復 無理
10,元々 付き合っ た人 距離 置こ 話して LINE 送る 答え 合わせ なる 気 し おくれ て 昨日 感謝 LINE 送っ 未だに 既読 つか こと ああ やっぱり 別れ ん 実感 し なんで こう 最近 別れ 続く の 自分 欠点 見直さ
11,怒ら せる つもり ない 怒ら せ ちゃう 辞め
12,文句 数 否定 数 受け入れる 努力 し なら
13,目 見え てる もの 真実 限ら
14,なんか よく 0 人 クラフト 入っ 人生 変え くる 実際 0 人 クラフト 頼ら 人生 変え られる 参加 し てる 自分 変わら 考え てる ん 希望 先 絞っ なら 思う あと 参加 勢 いって 人 いる とりあえず こわ さ なる の 早そう
15,よし
16,他人 恨ん 自分 恋人 できないよ
17,必要 さ れ 言っ てる うち 必要 さ れる こと 無い
18,青い 水滴 鈴蘭 香り 香り 心 降かかる
19,現実 憧れ 積み重ね どこ 行っ 憧れ 追いつけ
20,聞こえる 声 信じ い 動く こと 出来
21,己 無知 知ら なら そう 後で 後悔 し 遅い の
22,スカイダイビング 動画 撮り
23,他者 どう 思わ れよ 自ら 感性 確立 する こと 幸せ
24,この アカウント 取り上げ られ て 嬉しい
25,あー こーだ 言う 前 体 動か せ
26,ご飯 食べ くれ ありがとう 毎日 頑張っ くれ ありがと 一生懸命 努力 し くれ ありがとう 生き て くれ ありがとう
27,想像 止まら 話し こと 溢れ 胸 求め 続け いる もう 無理 心 抑え 雑念 私 傷つける
28,浄化 ため 欲 なくせ
29,覚悟 し て はず 痛み 乗り越えろ 甘え てる 時間 ない 亡者 怠惰 狙っ てる
30,全て いら 無 帰る もの 魂 壊れ かけら 心 傷つける
31,風になれ 電柱 超え 窓 流れる 空 旅行 このまま 地球 回る の はたまた 生まれ変わる の
32,く びはうかわのつめたきしこころをあみしよのそらよ
33,蜘蛛 いくつ 垂れ 全て つかめ 切れ ゆく 自ら 紡い 糸 切れ 下 向く 蜘蛛 嘲笑う
34,風呂 入り 身 清め 新し こと 挑戦 しよう 動か の 甘え の
35,今年 デパス 飲み
36,知ら わかん
37,おかしく
38,去年 頑張っ い それ 以上 新しい 自分 なり変わら なら 変化 なく 進化 し いく の
39,厳しく する の ひとつ 優しさ こと 学ば なら
40,悲しみ 世界 とどまっ い あたらしい世界 見え なる
41,消え 物 振り返っ み 再び 手 入れる こと でき
42,悲しみ 隠し 信じる もの 消え いく
43,眠れる ピアノ 心 奏で 終焉 青 描く
44,欲しい もの どこ なく 手 し 消え いく 虚像 崩れ ゆく 季節 見届け いく
45,呪わ れ 血 いくら 頑張っ 変え られ 体内 呪詛 なっ 溶け込ん いく
46,痛み 気合い どうにか なり
47,幸せ ため 戦え 戦い 続けろ
48,元気 なっ コメント 0 番 嬉しい
49,過去 戻れ 前 みろ
50,クリスマス 人 成長 感じ させ られる 人生 栞
51,幸せ 人 貶め 夢 壊す
52,何 ない 地面 体 何 倍 巣 作る 虫 なん 素晴らしい
53,忘れる 声 聞く こと
54,人生 ご飯 食べる こと 仕事 する こと ゆっくり 休む こと 死ぬ こと の どんな 人生 これ 変わら
55,地 這う 虫けら なぜ 笑う あなた 地 他者 天 ある
56,諦める 振り する の 簡単 心 諦め い
57,求め いる もの 願っ て もの その 全て 虚像 変わっ く
58,胸 高まる 道 突き進め 茨 進も 吹雪 見舞わ れよ 胸 高 鳴り 生き 証 の
59,なぜ 0 成長 する の 0 成長 し なる
60,子供 ルール 守れ いう 大人 なぜ ルール 破る の 成長 手 入れ の 偏見
61,止まる こと 恐怖
62,無味無臭
63,夜 暗い 暗い 闇 体 沈み 包ま れ 蛹 なる
64,最近 就活 し て せい の 自己肯定感 下がっ 変わり
65,求める の 今 自分 将来 進化 し 自分
66,己 未熟 さ 牙 しろ
67,動か 理由 ない
68,求める 与え 続けろ
69,動く 止まる 選択 それだけ
70,水 中 必死 泳ぐ ブリ 知ら 自ら 限界 迎え いる こと 上 向き 必死 もがい 進化 道 閉ざさ れ いる ブリ 必死 泳ぐ
71,諦め オトナ 正し さ 振りかざす
72,求めろ 求めろ 求めろ 求める こと 渇き 収まら
73,もっと 配信 回せる よう なら ち ひとり だいじょうぶ 思っ もらえる 頑張ら 日々 勉強
74,参加 勢 飲み会 0次会 眠れる 思う
75,求め いる 答え 真実 限ら
76,夢 諦める 諦める まだ 早い
77,鍋 中 そこ 見え スープ 中 掴め 未来を 予想 し
78,全 人類 己 不幸 着飾っ いる
79,手 伸ばせ 明日 掴む ため
