yuma,yamato,amugiri,hyuga,yuta
"『コムドットの豆知識』 主催者である私は渡辺という恋愛バラエティ評論家に勧められて 最近、あいのりのアジアンジャーニーを見ている。 推しはウェディングさんだ。 Jan 25, 2022 ","RT @Comyoutuber2: 逆鬼ごっこについて話します https://t.co/51dHPTEeX8 新しい動画です。 鬼ごっこについて話しました。 https://t.co/GsUl9LjM7v Jan 26, 2022 ","@minity_39 豆しば笑笑 知らなかったあああ！！ Jan 25, 2022 ","誕生日おめでとう！ プレゼントはお揃いのダウンベスト お揃いでロケいこーぜ😏 #あむぎり誕生日 #あっちゃんおめでとう #誕生日前日二人で買いに行った https://t.co/3XV4PyiDao Jan 23, 2022 ","逆鬼ごっこオフショット 今日も見てね🕺😏 https://t.co/pBsHo1r3qA Jan 18, 2022 "
"『コムドットの豆知識』 うちのまつげん君は麻婆豆腐にさらに豆腐を追加して食べるようだ… このコーナーでは裏方のことやメンバーのこと細かいコムドットのことをお披露目していこうと考えている。 Jan 25, 2022 ","RT @Comyoutuber2: 【賞金300万】24時間逆鬼ごっこ〜勝者が笑う場所〜 https://t.co/QkKWFyjj2I 今日の動画です🔥 逆鬼ごっこクライマックス。 賞金は誰の手に！？！？ みんな見てね😎 https://t.co/SYGh3NdNOC Jan 23, 2022 ","お揃い✌︎ https://t.co/qkKmmdFLdE Jan 25, 2022 ","RT @Comyoutuber2: 【24時間逆鬼ごっこ】 鬼ごっこの概念をぶち壊す大型企画 賞金300万を賭けて23歳の男5人が様々な街を駆け巡ります 是非チャンネル登録をして楽しんで見ていただけると嬉しいです🤝 https://t.co/wyMs7JkIdP Jan 16, 2022 ","RT @Comyoutuber2: 【賞金300万】24時間逆鬼ごっこ〜創造と破壊〜 https://t.co/hh6mTFFz3m 2022年1発目の動画🔥 お待たせしました！！！！！ 過去1番壮大な企画と編集💪 みんな見てね🙏🤙 https://t.co/b9rSjYlB… Jan 16, 2022 "
"中華街の渡辺さん載せときます 写真下手すぎて草 どこ見てんだろうこの人、 ちゃっかりドラゴンの手してて可愛いニャン🐈‍⬛ https://t.co/jzZe8OVkAW Jan 22, 2022 ","RT @YSLBeautyJP: 新作リップ「ルージュ ヴォリュプテ キャンディグレーズ」のイベントにコムドット やまとさんとSeiraさんが来場。 Seiraさん「スキンケア成分78%配合で、塗るだけで唇に艶と潤いを感じました。私のお気に入りのカラーはNo.6。」 #キャ… Jan 23, 2022 ","@Da_iCE_HAYATE 遅れて申し訳ございません🙇‍♂️💦 ありがとうございます！！ Jan 25, 2022 ","この2人が本当に好き #ずっと遊んでたい #まじで楽しい #こむみんごしたいもう一回 https://t.co/WhH3VSP3Qz Dec 29, 2021 ","RT @vivi_magazine: 2021年下半期 #国宝級イケメンランキング 急きょ新設した「好きなYouTuber部門」❣️ 1位に輝いたのは…… #コムドット ！ 彼らのスペシャルな撮り下ろし撮影&インタビュー、2位以降の順位は明日12月22日発売のViVi2月号で… Dec 21, 2021 "
"RT @Comyoutuber2: 【賞金300万】24時間逆鬼ごっこ〜創造と破壊〜 https://t.co/hh6mTFFz3m 2022年1発目の動画🔥 お待たせしました！！！！！ 過去1番壮大な企画と編集💪 みんな見てね🙏🤙 https://t.co/b9rSjYlB… Jan 16, 2022 ","今まで自分が間違ったことをしたなと思った時は心の底から謝って反省してきています この姿勢はこれからも変えたくないなと思っています でも自分が納得できないことや不条理なことがおこった時は徹底的に戦います Jan 23, 2022 ","@homies_ruka Twitterでもありがとう！！ 来て来て！✌️ Jan 23, 2022 ","RT @vivi_magazine: 2021年下半期 #国宝級イケメンランキング 急きょ新設した「好きなYouTuber部門」❣️ 1位に輝いたのは…… #コムドット ！ 彼らのスペシャルな撮り下ろし撮影&インタビュー、2位以降の順位は明日12月22日発売のViVi2月号で… Dec 21, 2021 ","@comamugiri0123 また会いたいね😂🤤 Dec 17, 2021 "
"@comyamato0515 精力は活力だニャン🐈‍⬛ Jan 16, 2022 ","PV数に目が眩んで情報を切り取って悪く流す無責任なメディアも、間違った情報を元に人を攻撃する人もいい加減にして欲しい なんかおかしくないですか？ みんなは違和感を感じないですか？ こんな風潮に絶対に負けたくない この俺が負けるはずがない Jan 23, 2022 ","@hikakin うわぁぁぁ😭 ありがとうございます！嬉しすぎます🙇‍♂️ Jan 23, 2022 ","@comyamato0515 同じく Dec 17, 2021 ","@fischerszakao ありがとうございます😭🙇‍♂️ Dec 12, 2021 "
"【TikTok君】 https://t.co/TbEfCfSV6K 【Instagramちゃん】 https://t.co/CqoYL60G87 Jan 16, 2022 ","人の目は騙せても自分の目は誤魔化せない 自分がどう感じるかを無視し続けると、人の人生を生きることになる 自分がどう感じるか、どう捉えるか、どう振る舞うか、どう生きるかが最優先 Jan 22, 2022 ","無事23歳になれましたぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！ Jan 22, 2022 ","みんな一旦お疲れ様！ 本当に本当によく頑張った。 頑張るって言葉じゃ足りないくらいに。 信じて応援してくれた方々心から感謝します。 #コムドット有言実行 #コムドット300万人達成 https://t.co/nKFEJO6Clx Dec 11, 2021 ","年内目標チャンネル登録300万人達成 自分の心に負けそうになる時もあったけど、いつもみんなで鼓舞しあって頑張ってきました。 自分の人生の中でこの達成は大きな財産になります。 本当にありがとうございました🙇‍♂️ #コムドット300万人達成 #コムドット有言実行 https://t.co/uYbSaLuUU8 Dec 11, 2021 "
"どうもコムドットの鬼ビジュアル担当の浦田です 最近ビジュアル本気を出している僕ですが、迷える子犬という設定で今後やっていくので推してくれる方を募集してます 精力的にInstagram、TikTokやってるので是非フォローお願いします🐶 貴方に浦田を推せるかな？ #浦田教 https://t.co/gYgPdaE26c Jan 16, 2022 ","うまくいく秘訣は「努力の見積もりをしないこと」 こんぐらいやったらって見積もりを立てるとどこかで心が折れる 自分がダサいと思うなら辞めればいいし、イケてると思うならやればいい 肝心なのは最初に「うまくいくまでやる」って決めること 決めた瞬間に人生無双モードになる Jan 19, 2022 ","@M1nna4awase2 一切ないかもです Jan 22, 2022 ","凄すぎる😱 歌詞がコムドットに詳しすぎてくらいました。 https://t.co/iS1KNxW1LI Dec 05, 2021 ","RT @YouTubeJapan: ◤　　　　　　　 🎬 YTFF の見どころは！ 🎤✨　　　　　　 ◢ #コムドット のみなさんからコメントが😍 バスケ部時代の背番号を背負い、困難なお題にチームで挑む🔥波乱万丈な展開の結末は…💥 #YTFF @Comyoutube… Dec 03, 2021 "
"皆さん口内炎痛いおめでとうございます明けまして🍱 Jan 12, 2022 ","RT @modelpress: コムドット、年始一発目の動画が急上昇ランクイン「待ってました」「変わらず最高のクオリティ」と絶賛の声続出 @Comyoutuber2 ▼動画はこちら https://t.co/IDSZOOmtdQ Jan 18, 2022 ","@him_yum__715 何になりたいんだろうね自分😯 Jan 22, 2022 ","@comyamato0515 なんやお前きしょいのう Nov 29, 2021 ","今日めちゃめちゃ頭痛いんだけど同じ人いますか？ 低気圧？ 12月 https://t.co/UwfJ505zRH Dec 01, 2021 "
"チャンネル登録者300万人突破しました！ ライブ見てくださった皆さん是非ありがとうございました！ やっぱりコムドットはどんでん返しが得意でしたね。 インスタグラムでまた語りたいと思います🔥 本当にありがとうございました！ #コムドット有言実行 #コムドット300万人達成 https://t.co/SuZCYUWuFy Dec 11, 2021 ","@KEESUKE_ESPOIR @___nicoichi___ 黄色君がネットナンパしてて草 Jan 18, 2022 ","学生時代より癖が無くなってきてるから寝癖も昔より大丈夫な気がする！ https://t.co/YgqjPqvXHp Jan 22, 2022 ","RT @Comyoutuber2: 【スカイドット】ひゅうが23歳バースデーソング♪ https://t.co/5TdX29p0FQ 今日の動画です🔥 ひゅうがバースデイソング🎁🤤 みんな見てね✌️ https://t.co/cuqXb5eGvd Nov 19, 2021 ","🕺🎉🙇‍♂️🔥💪 https://t.co/LbvSXbpppW Nov 29, 2021 "
"やまとさんに私は弟子入りしました。 Dec 04, 2021 ","RT @modelpress: コムドット、こだわりの大型企画で2週間ぶりに動画投稿を再開 やまと「去年のコムドットを余裕で越える」と宣言 ▼記事詳細はこちら https://t.co/KEDj2WefsD Jan 17, 2022 ","@ogwsk_8 どっち！！ Jan 21, 2022 ","間違いない。 コムドット一同いつまでもいつでも待ってます。 https://t.co/qetjroj5HM Nov 05, 2021 ","チャンネル登録者運動会終了🔥 #輝け大人の青春 https://t.co/e4yOPfhjA6 Nov 12, 2021 "
