yaci
"強くなるから頑張るから Jan 20, 2022 "
"配信やってると元気出るのになんでなんだろ終わると涙が止まらなくなるのは Jan 20, 2022 "
"だめだね、まだやちは弱い 泣いてしまう 涙なんて軽いものだから気にすることでもないかもしれないけど、気持ちはまとまらないし弱すぎる、弱いことは悪くないけどもっと強くなりたいな Jan 20, 2022 "
"貴様に送る、もうここを見ないでくれ 君に心残りを感じさせるために書いてるわけじゃない、前を向く決断のための言葉なのだ、だからもう見ないでくれ Jan 20, 2022 "
"彼も幸せになってくれと言ってただからやちは幸せにならないといけない Jan 20, 2022 "
"さようなら、そしてこんにちは 新しい出会いを大切に Jan 20, 2022 "
"心残りはあるし、簡単に感情は変えれないけど、次は幸せな恋愛をしようそういう心意気を持って動く Jan 20, 2022 "
"間違った選択肢を選んだつもりはない 矛盾を重ねたものに対しての終止符を打ったのだ、だが何故なのか感情の波は己を沈ませる Jan 20, 2022 "
"自身の傲慢さに欲を委ね、 得た力を己のためにしか使えないものを誰が欲しいというのだろうか Jan 19, 2022 "
"RT @setuna_ohana: #やちアート のんでないもん https://t.co/4h0yu5IP8X Jan 19, 2022 "
"RT @namakoo_o: #50人イラフト #やちアート なるべく2日に一枚描きたい！！！ https://t.co/dRaJQaEJK5 Jan 19, 2022 "
"RT @4yrPUokm5Ugytf9: こんなんです #あおぞらようちえん #やちアート https://t.co/ynZXBbmbDF Jan 19, 2022 "
"RT @KAISEInandayona: 黒板に描いた感じな #やちアート https://t.co/WnuF610P1s Jan 19, 2022 "
"RT @adariumu_: #50人イラフト #やちアート https://t.co/8Qjj1RLj3Y Jan 19, 2022 "
"RT @xQbMqgJ2q1STBCx: #やちアート #50人クラフト 数学わからなすぎて落書き。 https://t.co/6dTU4dISCQ Jan 19, 2022 "
"RT @0720Yami: にっこり(⌒-⌒) 『やちです!!!』 #やちアート #50人イラフト https://t.co/TobSVQ9C3S Jan 19, 2022 "
"RT @0720Yami: チャイナやち~♡ #やちアート #50人イラフト https://t.co/HOZpCxzIn8 Jan 19, 2022 "
"RT @tomato_mazuuuu: やち #50人イラフト #やちアート https://t.co/zzWGvNAbiY Jan 19, 2022 "
"RT @KusareT0MAT0: #50人イラフト #やちアート 💗💗💗 https://t.co/z0xfKAcuLk Jan 19, 2022 "
"RT @yubi_mochi: すっっっごい前にTikTokのスクショから塗ったやつみつけた!🎨 #やちアート #50人イラフト https://t.co/tyFX5AmPKE Jan 19, 2022 "
"RT @uro1224: #やちアート https://t.co/Fw8qezSPgK Jan 19, 2022 "
"RT @tz_031: #50人イラフト #やちアート https://t.co/UOqV4thFDp Jan 19, 2022 "
"別れたくなかったなぁでももう修復は無理だったけど Jan 19, 2022 "
"元々付き合ってた人に距離を置こうと話してからLINE送ると答え合わせになる気がしておくれてなかったけど、昨日感謝のLINE送って、未だに既読つかないことから、ああやっぱり別れたんだなって実感した、なんでこう最近別れが続くのかなー自分の欠点を見直さないと Jan 19, 2022 "
"怒らせるつもりないのに怒らせちゃうの辞めたい Jan 18, 2022 "
"文句の数は否定の数 受け入れる努力をしなければならない Jan 10, 2022 "
"目に見えてるものだけが真実だとは限らない Jan 10, 2022 "
"なんかよく、50人クラフト入って人生変えたいとかくるけど、実際50人クラフトに頼らなくても人生は変えられるし、参加してる自分でさえ、変わらなきゃって考えてるんだから、希望の先を絞ってはならないって思う。あとそれでも参加勢なりたいって人がいるならとりあえず、たこわさになるのが早そう Jan 10, 2022 "
"よし！ https://t.co/KZbABIrObB Jan 09, 2022 "
"他人を恨んでも自分に恋人はできないよ？ Jan 09, 2022 "
"必要とされたいと言ってるうちは 必要にされることは無い Jan 07, 2022 "
"青い水滴は鈴蘭の香り 香りは心に降かかる Jan 07, 2022 "
"現実は憧れの積み重ね だが、どこまで行っても憧れには追いつけない Jan 07, 2022 "
"聞こえる声だけ信じていても 動くことは出来ない Jan 07, 2022 "
"己の無知は知らなければならない そうではないと後で後悔しても遅いのだ Jan 05, 2022 "
"スカイダイビングの動画撮りたい Jan 05, 2022 "
"他者からどう思われようと、 自らの感性を確立することが幸せである Jan 05, 2022 "
"このアカウント取り上げられてて嬉しい！ Jan 05, 2022 "
"あーだこーだ言う前に体を動かせ Jan 05, 2022 "
"ご飯食べてくれてありがとう 毎日頑張ってくれてありがと 一生懸命に努力してくれてありがとう 生きててくれてありがとう Jan 04, 2022 "
"想像は止まらない 話したいことは溢れて 胸は求め続けている もう無理だと心を抑え 雑念は私を傷つける Jan 04, 2022 "
"浄化のために欲をなくせ！ Jan 03, 2022 "
"覚悟はしてたはずだ ならば痛みなど乗り越えろ 甘えてる時間なんてない 亡者は怠惰を狙ってる Jan 03, 2022 "
"全てはいらない 無に帰るものよ 魂は壊れかけらは心を傷つける Jan 03, 2022 "
"RT @anisakesu: 以上です。 ポリゴンやっぱりおもしろいや https://t.co/9Q1Fhtk7Wa Jan 01, 2022 "
"風になれ 電柱超えて窓に流れる空旅行 このまま地球を回るのか はたまた生まれ変わるのか Jan 01, 2022 "
"くびはうかわの つめたきし こころをあみし よのそらよ Jan 01, 2022 "
"蜘蛛にいくつも垂れ 全てをつかめど切れてゆく 自ら紡いだ糸でさえ切れ 下向く蜘蛛は嘲笑う Jan 01, 2022 "
"風呂に入り身を清め、新しことに挑戦しよう 動かないのは甘えなのだ Jan 01, 2022 "
"今年もデパス飲みません！ Dec 31, 2021 "
"知らない！わかんない！ Dec 31, 2021 "
"おかしくない！ Dec 31, 2021 "
"去年も頑張っていてもそれ以上の新しい自分になり変わらなければならない！変化ではなくて進化をしていくのだ！ Dec 31, 2021 "
"厳しくするのもひとつの優しさであることを学ばなければならない Dec 30, 2021 "
"悲しみの世界にとどまっていたら あたらしい世界も見えなくなる Dec 28, 2021 "
"消えた物を振り返ってみても 再び手に入れることはできない Dec 28, 2021 "
"悲しみを隠して、 信じるものは消えていく Dec 28, 2021 "
"眠れるピアノは心を奏で、 終焉と共に青を描く Dec 27, 2021 "
"欲しいものはどこにもなく、手にしても消えていく虚像である 崩れてゆく季節を見届けていく Dec 27, 2021 "
"呪われた血はいくら頑張っても変えられず、体内の呪詛となって溶け込んでいく Dec 25, 2021 "
"痛みは気合いでどうにかなります！ Dec 25, 2021 "
